73449	0	237265508	51234160	42410082	19641425	6109253	153043	10064684	6988932	3008987	80385999	195892	13021841	69781914	6038	18798613	224757327	85537	163824	26832541	33531466	28385	3262905	146244160	4992	436470	18747168	7119639	3702	316366	0	1833199	99202019	88076807	8648	0	135020627	104726	398088146	65732	86811966	49376728	156864	10891879	6398334	19330181	2966034	69177580	2382020	22723	0	21439	66017261	6408977	25655236	8410	5452021	0	0	7490	5226916	53748	8213937	4179653	11518706	1880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2018675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1231398	0	0	0	0	0	21984815	0	0	0	0	0	0	0	2592	0	5771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	1013941	0	0	0	2667	0	0	0	8898853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26562608	365100	0	0	1827	0	0	76325	0	0	0	0	0	28424	0	0	0	1336100	0	0	0	0	0	0	0	10917	0	0	0	0	0	0	0	883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1033	0	47315	0	0	0	0	6692	0	229305	0	0	0	29769	1500	0	2121	0	0	1300	30144	0	0	0	0	0	0	0	0	0	0	0	0	8503	0	0	0	0	51800	0	0	0	12484	0	0	0	0	0	0	0	0	0	0	0	3885	0	0	0	0	0	0	3155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151382	223913576	2950085164	272746074	149696776	563093244	575261515	315611	792880	18685636	81229529	609157863	165055	25211936	479022390	1480987	12163522	399896112	14868844	26501751	400648518	269796392	131964449	60832291	73587481	23878297	69192973	238826011	58528880	195537	38065712	43491405	16883827	167548763	0	33266231	3176226	39259425	3622411	80347272	30427097	35182012	345092362	98935661	190505715	1398169	368188525	10277948	4696930	1350520	28283860	0	60607	5359431	210432	3117285	28237998	2389126	335403	8968121	49074	35116	48497968	39021369	77660541	3230362	129854	34672	8109083	3067157	257044	1796339	218901	0	0	0	0	0	0	0	0	0	2014905	0	0	0	0	0	0	0	0	0	0	8135614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20757	0	0	0	0	0	0	13744	0	283346	0	0	0	0	0	0	0	0	0	10636	0	0	0	0	550687	0	38626773	0	0	311348	0	0	0	1270501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	112538512	47980424	1049016	17500131	12957856	590568	45491	139015	35316349	655445	4818736	128351	8592417	1054427	3279	3587	0	19162	25911	657044	2925858	0	10510	363748	2080309	810758	204954	860136	6170	47009168	0	0	271406553	0	578807	166576	23027477	0	460314	2643799	7629579	495299	24604731	814530	164745	16185369	24579	472038	937578	7688541	0	10885	14466	678080	48233	224578	0	90358	23845	2536	6113	1975675	0	0	501443	309627	0	0	0	3517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32639	19827570	76468911	2782089	82662610	43806756	16153952	0	216714	2134951	351527	60242546	9265	1937751	124458992	0	59895488	50483594	36189985	145098	3979915	34959039	281008791	937313	6402239	0	268589	309803	1473804	0	10368972	14552	0	7338566	10683981	0	190192	1112133	0	19486	0	8370868	74553	963613	9720967	9685522	1448282	36524271	1547812	0	14669	0	2289	1494105	4794683	372872	1251254	29614	0	0	0	0	736573	3595351	574893	691213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	786	690398	8516	405174	9618256	24146	1597	0	0	0	1137772	1714	808932	76582	140502	0	9821934	3580	326685	0	40221	0	56743	0	661	0	0	0	0	0	0	0	47189739	0	0	0	702104	0	0	0	862547	0	0	0	0	101684	248916	24999	0	0	0	0	0	1345	0	0	0	33120	0	0	0	104302	0	45180	0	7447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2761	193432971	624696645	8569146	84422575	323969015	94295167	765771	6463150	3391278	6389708	446733317	613168	6372483	83325499	1245925	2787091	227020213	4513988	7326383	44155717	34662717	4302000	67072866	14082826	8611770	85856692	12013882	65071846	21038	5805912	6706605	339670	88207848	0	1624714	10455173	10817027	338678	15580262	20719909	52211885	30686968	26188761	184643128	3019254	97484376	2283913	12253129	11063	12921717	0	206783	258063	0	180578	33761985	204106	339593	21519	129003	26088	4815469	20245061	20804847	1429333	1983	29437	6947778	200993	1135142	10985302	582000	0	0	0	0	0	0	0	0	0	1657298	0	0	0	0	0	0	0	119865	0	0	22748855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28000	0	0	0	0	0	0	731	1937000	0	0	0	0	0	0	0	0	0	0	640856	0	0	4128271	0	272267	0	0	0	0	49000	0	0	0	11290062	0	0	0	0	0	0	0	1247922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	3300777	32174931	1743873	1859000	2142389	3394654	0	0	0	2798566	5034939	0	2930799	7794099	611	13005	29434318	0	0	549367	23782731	0	1352484	37031	1066	0	384099	0	0	0	0	0	1949315	0	0	0	503	0	1229	0	0	126451	168316	0	0	0	0	8910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151011	0	1404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	62267017	32517360	2081616	4621147	27345189	14239574	0	0	1246397	2109223	61078071	546	192544	4939914	1663	4614158	14954902	75548	269753	417095	8672109	0	73892	270406	1948	31034369	2476356	4871222	0	628506	0	46793	30034041	8096319	1381355	8721	48734	0	835841	40024969	494845	1049671	53011143	5355921	0	11783891	11612	0	65245	40914	0	0	0	0	0	0	3527	0	0	0	0	3231811	0	388117	109851	1959950	0	0	0	1435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	201291	13760114	280722	39179188	240762487	7342641	84718	0	2242400	2950923	64021414	46924	569680	8975253	0	5173047	4275941	5056	0	510877	8809787	0	5342841	8960571	0	384593	40376	13427147	0	1093981	52089700	0	12132101	420140	0	0	0	11530	2576	0	0	183037	3940	1632991	0	1777	0	0	0	12836069	2502879	5565	0	0	0	213283	28050	0	0	17099	0	7325627	0	1286622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1487102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35409449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	468948	319392	6377	626213	2829726	758594	0	0	249572	6400	38868265	0	0	137632	0	0	333364	8665	0	19885	6905	0	0	18411	425243	550726	9512	9984004	0	0	0	0	412850	1558	25434	0	0	0	501	34850216	44382	1129320	0	452339	0	107958	0	0	1789	0	0	0	0	0	0	0	0	0	0	197938	0	41352	0	0	0	0	0	0	0	186019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
154003	1945669396	4990291149	194867687	1207761184	3052262284	1450760348	488943	3039235	89315999	63884797	3681803953	136372	72509358	1393632154	4848884	43730858	1051763549	13298702	25038537	832015026	1283227013	0	162933370	253834157	68130332	243140758	2360540287	324230643	121978	47451551	0	73805364	3014005206	0	2361102	3120517	5144730	27318671	342924109	42813373	88017523	688644283	161172012	1138682084	39482188	2257181132	19316300	8661693	5628639	26512853	0	326241	3829002	1684922	1844640	84143456	3337147	299659	3604908	2544	0	85615108	16524014	166995765	6468629	12322197	3383	0	0	2288230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4908706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	46164384	1144	5916613	41953107	16195090	1052702	0	278301	62888	7520	1906121	60951	102401126	0	515458	47692587	10449	0	1186693	575242	21023203	247920	54502	0	0	19193	4100	3305	806999	0	0	16089020	1864	0	0	13352	0	197268165	0	0	116408	0	0	0	13436389	0	0	21746	0	0	252464	0	0	821	0	152947	791	0	0	0	0	4405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	3767782	566876223	581138	21721143	442706099	139820113	9667	0	0	3634874	219092834	14167	129679	17721895	0	2720622	51592583	70253	18700057	62883471	3035484	266816	48236	389873	15304301	11311919	16867	12645992	2205	3579	0	0	4172959	6392164	10751741	119897	36633	0	126169	137435185	1711003	2884094	7124878	77955284	0	4966508	72756	0	24188	0	0	0	0	0	0	15496794	0	0	0	3895	0	31038997	0	1446843	26111	0	3959	9220369	2778685	775687	0	23675651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3445820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68905422	3053735	17121090	2603597	8201228	24419283	72314241	15199874	1003486	153707	693483	35972874	12113099	538491	481219	64903	108974	983623247	168961	3541110	571835	25900017	3866975	19027932	1181699	68018	0	5621	19545	0	4138225	3678	0	10774446	0	0	0	230853	1182	4182329	63807	92202	3238867	3293	0	11291	503705	3897401	95635	48587015	0	0	43952095	48241867	0	964019	0	3067044	0	0	0	17348	1704264	31469	11099056	0	451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14442113	0	411816	0	0	0	0	11200	0	0	0	0	0	20865506	0	0	0	0	0	0	0	0	0	0	0	0	3647196	0	0	0	0	0	0	0	0	0	0	0	0	37792818	0	0	0	0	0	0	0	0	8829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10812	3270865	64688438	3206175	7018597	11412578	40653672	15331	0	12719526	1157281	21285827	0	4417274	18126413	647493	16987182	14907446	0	697520	3293850	13359202	0	842651	1717562	42781	8754233	3092596	988174	0	4580413	0	12088	19145298	2675612	0	0	28217	40622	420971	8893964	17773112	1340594	2254107	6455209	0	1412717	10208	0	0	2216452	0	0	0	0	0	0	0	1330	38558	3343850	0	3252838	0	66495	0	0	699	0	0	4398537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1737578	0	2331711	16791	6902625	103678	60994978	22621	0	0	5153	694542	447422	0	144705	0	118329	8186327	0	524023	41208	0	0	202614	0	0	0	8022	367211	0	0	0	0	2664813	0	0	0	0	0	768396	0	2758822	73176	0	2139	0	0	0	0	714460	0	0	18963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4220	0	86939	2341	46659	0	1503223	2236	0	0	0	88324	0	3564	0	7599	0	2043979	0	101464	0	18320	0	0	1374503	0	0	0	0	827	0	0	0	47870	0	0	0	6258600	28818	0	0	0	0	1135	0	42700	0	0	86345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	3072493	34884576	732534	4311522	28599595	2154283	25215	0	146824090	84689	7802535	96881	40565329	6801444	225337	485906	0	0	12929509	12589773	7683108	0	12070420	3764435	0	116969	100641	363291	0	38361522	0	1762	538690085	0	1662419	10916679	456380	4499	740007	1350003	0	1800573	84858969	8066	0	2833636	67075	0	0	103241951	0	1956	0	0	0	1298530	0	10704	0	107909	0	711466	0	850344	7346	0	20533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1543592	0	20872	620314	61188224	58913481	0	0	130795	26404	246182224	0	2463798	655434	0	54279	391356052	9136	0	50359834	8071803	0	11863051	173754	4002	200385	0	0	0	37729	0	0	10950621	0	23138	3792	0	0	747	1224372	16546057	8634	4269277	208541	0	0	0	3671	22378	0	0	0	0	0	0	0	0	0	0	0	0	200343	0	356905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	9608626	1699432200	2621835	386896282	751479201	1820734682	598974	7200801	343347984	22841685	2365141757	865690	3295341	248447050	5559087	170884807	1696273447	16711681	82813088	135899220	625165226	0	142670036	636735763	205206	888313	8444095	59563925	64425	0	0	388703	1688680994	10017210	0	75165626	765976	1879625	111398723	32596989	8495129	4569903	33515037	272080176	2406412	3637793	62257852	1438303	0	844257	0	90389	15688319	497132	13156	930430	6689611	445017	20695	53625706	163548	370202	196098497	8271146	6458755	2049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4211960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5436339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1704	34958011	184354998	8849059	30281725	26388870	137884698	457	0	6952245	4833158	71307048	0	14814196	41717090	2373387	38368367	112683723	1709751	9080277	8908980	27571582	511198	16991020	14858101	663293	13702659	2525514	5403207	7424	9647418	8850556	30155	133060256	6221227	0	2288293	4836198	1234	5232195	352344	0	9102206	1755543	2672890	183326	13395465	183410	0	0	16709118	0	0	0	0	0	816685	0	0	1586	26482	0	1761312	0	41955	0	11943	0	0	0	512173	1441343	0	0	0	0	0	0	0	0	0	0	2573	0	0	0	0	0	0	0	9842	0	0	290434	0	0	0	0	0	1082055	0	0	0	0	0	0	0	0	0	0	0	0	10747550	0	0	0	0	0	0	0	96748	0	0	0	0	0	0	329660	0	0	0	0	0	0	1162549	0	0	0	748333	0	0	82486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15681407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	4359	0	0	0	59082	0	0	0	0	0	92255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2708	30009695	327616	2929202	9202871	855484	0	0	6059	380586	2620427	0	0	4076147	0	116950	7977166	0	0	207320	34339364	0	92495	1269481	0	0	2754231	35136	0	0	0	0	2738062	0	0	0	0	0	0	0	0	127743	361312	0	0	353826	20364	0	0	0	0	0	0	0	0	14304	0	0	0	0	0	0	0	0	29129	795	0	0	0	296041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1828	18021	0	110820	0	175691	0	0	0	0	12943	0	7839	85950	0	0	215604	0	0	126535	10262	0	709	0	0	0	0	0	0	0	0	0	514779	1802	0	0	3556	0	0	0	0	7463	529	0	0	0	7994	0	0	0	0	0	0	0	0	12755	18754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	50355	42379	0	35254	1967080	0	0	0	105958	6223	0	0	0	674	42798	295025	0	52875	0	248983	0	0	0	0	0	0	33996	0	0	0	0	61943	0	0	0	0	0	0	0	0	0	0	24146	0	46095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	113932	204062	243446	952	0	58267	0	0	1457680	0	2176	0	2611	0	2072905	22445	201137	0	256663	241001	110944	0	946	0	64302	0	4448	56942	0	0	0	0	2116449	0	0	0	229494	0	0	0	0	0	42292	0	0	6951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1766	3520847	17179	85032	12342815	241061	6634	0	0	0	111345	8667	0	149915	0	522718	4281620	0	6405	244547	60291	0	1877	9127	0	0	0	7323	0	0	0	0	610221	43813	0	0	154803	0	0	0	48230	14423	0	0	0	10656	0	0	0	0	0	0	0	0	0	0	0	0	0	357276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	2549201	47594	2965	0	608522	0	18196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5223	0	0	0	0	0	0	16054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	124402	67372	0	323487	589211	278040	0	0	0	0	2436778	0	0	147699	0	27210	2206	0	9705	5337	436843	0	0	0	0	2318	0	226870	0	0	0	0	51100	47073	0	0	0	0	0	966752	91851	47247	20928	0	0	17630	0	0	0	0	0	0	0	0	0	0	0	0	0	183664	0	0	0	0	3191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222691	0	0	0	0	0	0	0	0	0	0	0	0	2968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
